country,iso2,iso3,iso_numeric,year,measure,unit,age_group,sex,risk_factor,best,lo,hi,risk_factor_label
Afghanistan,AF,AFG,4,2024,inc,num,0-14,a,all,17000,0,44000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,0-14,f,all,8400,0,30000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,0-14,m,all,8700,0,32000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,0-4,a,all,8300,0,35000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,0-4,f,all,3800,0,22000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,0-4,m,all,4500,0,27000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,10-14,a,all,4900,0,21000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,10-14,f,all,2500,0,15000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,10-14,m,all,2400,0,14000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,15-19,a,all,6900,0,29000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,15-19,f,all,3700,0,22000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,15-19,m,all,3200,0,19000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,15-24,a,all,16000,0,47000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,15-24,f,all,8500,0,36000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,15-24,m,all,7200,0,30000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,15plus,a,alc,640,21,2300,Alcohol use disorder
Afghanistan,AF,AFG,4,2024,inc,num,15plus,a,all,70000,13000,126000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,15plus,a,smk,3400,46,13000,Smoking
Afghanistan,AF,AFG,4,2024,inc,num,15plus,f,all,37000,0,84000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,15plus,m,all,33000,0,76000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,18plus,a,dia,11000,4100,22000,Diabetes
Afghanistan,AF,AFG,4,2024,inc,num,20-24,a,all,8800,0,37000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,20-24,f,all,4700,0,28000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,20-24,m,all,4000,0,24000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,25-34,a,all,14000,0,60000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,25-34,f,all,7700,0,46000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,25-34,m,all,6600,0,39000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,35-44,a,all,11000,0,46000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,35-44,f,all,5700,0,34000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,35-44,m,all,5200,0,31000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,45-54,a,all,9600,0,40000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,45-54,f,all,5200,0,31000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,45-54,m,all,4400,0,26000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,5-14,a,all,8800,0,26000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,5-14,f,all,4600,0,19000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,5-14,m,all,4200,0,18000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,5-9,a,all,3900,0,16000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,5-9,f,all,2000,0,12000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,5-9,m,all,1900,0,11000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,55-64,a,all,9200,0,39000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,55-64,f,all,5000,0,30000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,55-64,m,all,4200,0,25000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,65plus,a,all,9900,0,42000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,65plus,f,all,4600,0,27000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,65plus,m,all,5300,0,32000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,all,a,all,87000,26000,147000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,all,a,hiv,54,0,340,HIV
Afghanistan,AF,AFG,4,2024,inc,num,all,a,und,5100,1800,10000,Undernourishment
Afghanistan,AF,AFG,4,2024,inc,num,all,f,all,45000,540,89000,All risk factors
Afghanistan,AF,AFG,4,2024,inc,num,all,m,all,42000,730,83000,All risk factors
Albania,AL,ALB,8,2024,inc,num,0-14,a,all,19,11,27,All risk factors
Albania,AL,ALB,8,2024,inc,num,0-14,f,all,4,1,6,All risk factors
Albania,AL,ALB,8,2024,inc,num,0-14,m,all,16,8,23,All risk factors
Albania,AL,ALB,8,2024,inc,num,0-4,a,all,12,5,19,All risk factors
Albania,AL,ALB,8,2024,inc,num,0-4,f,all,4,1,6,All risk factors
Albania,AL,ALB,8,2024,inc,num,0-4,m,all,9,2,15,All risk factors
Albania,AL,ALB,8,2024,inc,num,10-14,a,all,4,1,6,All risk factors
Albania,AL,ALB,8,2024,inc,num,10-14,f,all,0,0,0,All risk factors
Albania,AL,ALB,8,2024,inc,num,10-14,m,all,4,1,6,All risk factors
Albania,AL,ALB,8,2024,inc,num,15-19,a,all,25,12,38,All risk factors
Albania,AL,ALB,8,2024,inc,num,15-19,f,all,12,3,21,All risk factors
Albania,AL,ALB,8,2024,inc,num,15-19,m,all,12,3,21,All risk factors
Albania,AL,ALB,8,2024,inc,num,15-24,a,all,46,29,63,All risk factors
Albania,AL,ALB,8,2024,inc,num,15-24,f,all,23,11,35,All risk factors
Albania,AL,ALB,8,2024,inc,num,15-24,m,all,23,11,35,All risk factors
Albania,AL,ALB,8,2024,inc,num,15plus,a,alc,46,18,88,Alcohol use disorder
Albania,AL,ALB,8,2024,inc,num,15plus,a,all,390,300,480,All risk factors
Albania,AL,ALB,8,2024,inc,num,15plus,a,smk,42,11,92,Smoking
Albania,AL,ALB,8,2024,inc,num,15plus,f,all,130,85,170,All risk factors
Albania,AL,ALB,8,2024,inc,num,15plus,m,all,260,180,340,All risk factors
Albania,AL,ALB,8,2024,inc,num,18plus,a,dia,25,10,46,Diabetes
Albania,AL,ALB,8,2024,inc,num,20-24,a,all,21,10,32,All risk factors
Albania,AL,ALB,8,2024,inc,num,20-24,f,all,11,3,18,All risk factors
Albania,AL,ALB,8,2024,inc,num,20-24,m,all,11,3,18,All risk factors
Albania,AL,ALB,8,2024,inc,num,25-34,a,all,60,28,92,All risk factors
Albania,AL,ALB,8,2024,inc,num,25-34,f,all,23,6,40,All risk factors
Albania,AL,ALB,8,2024,inc,num,25-34,m,all,37,10,64,All risk factors
Albania,AL,ALB,8,2024,inc,num,35-44,a,all,65,28,100,All risk factors
Albania,AL,ALB,8,2024,inc,num,35-44,f,all,18,5,31,All risk factors
Albania,AL,ALB,8,2024,inc,num,35-44,m,all,48,12,83,All risk factors
Albania,AL,ALB,8,2024,inc,num,45-54,a,all,69,26,110,All risk factors
Albania,AL,ALB,8,2024,inc,num,45-54,f,all,12,3,21,All risk factors
Albania,AL,ALB,8,2024,inc,num,45-54,m,all,56,15,98,All risk factors
Albania,AL,ALB,8,2024,inc,num,5-14,a,all,7,3,11,All risk factors
